hours_since_cooking,initial_hours_at_room_temp,storage_location,cooling_method,observed_smell,observed_appearance,Spoilage_Index
68,68,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
17,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
17,17,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
11,11,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
17,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
86,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
15,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
7,7,Room Temperature,Not Applicable,Normal,Dull/Dry,2
95,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
28,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
16,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
52,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
3,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
37,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
73,73,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
92,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
50,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
26,26,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
89,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
59,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
5,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
55,55,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
23,23,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
89,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
20,20,Room Temperature,Not Applicable,Normal,Dull/Dry,2
53,53,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
53,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
70,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
70,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
71,71,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
9,9,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
8,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
50,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
95,95,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
5,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
74,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
80,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
54,54,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
35,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
70,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
58,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
73,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
33,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
32,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
8,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
92,92,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
34,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
18,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
58,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
56,56,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
38,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
75,75,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
13,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
44,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
22,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
82,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
87,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
18,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
16,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
17,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,50,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
37,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,0,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
58,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
17,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
24,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
34,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
61,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
3,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
11,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
19,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
5,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
27,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
13,13,Room Temperature,Not Applicable,Normal,Dull/Dry,2
37,37,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
78,78,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
36,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
89,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
64,64,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
2,2,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
49,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
23,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
59,59,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
29,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
8,8,Room Temperature,Not Applicable,Normal,Dull/Dry,2
50,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
59,59,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
76,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
75,75,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
8,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
15,15,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
29,29,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
30,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
1,0,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
11,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
51,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
91,4,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
68,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
85,85,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
42,42,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
79,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
26,26,Room Temperature,Not Applicable,Normal,Dull/Dry,2
85,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
19,19,Room Temperature,Not Applicable,Normal,Dull/Dry,2
89,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
51,51,Room Temperature,Not Applicable,Normal,Dull/Dry,2
15,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
59,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
91,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
14,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
60,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
6,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
26,26,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
18,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
95,95,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
16,16,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
12,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
39,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
12,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
40,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
76,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
60,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
11,11,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
24,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
51,51,Room Temperature,Not Applicable,Normal,Dull/Dry,2
50,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
84,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
94,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,10,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
93,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
87,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
26,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
86,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
71,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
93,93,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
91,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
88,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
50,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
48,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
64,64,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
78,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
78,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,52,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
14,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
38,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
37,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
7,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
52,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
6,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
77,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
76,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
13,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
17,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
7,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
19,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
15,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
5,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
73,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
19,19,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
30,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
11,11,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
91,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
56,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
7,7,Room Temperature,Not Applicable,Normal,Dull/Dry,2
8,8,Room Temperature,Not Applicable,Normal,Dull/Dry,2
12,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
41,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
64,64,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
77,77,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
12,12,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
59,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
87,87,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
22,22,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
88,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
90,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
83,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
10,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
93,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
80,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
61,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
29,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
52,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,29,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
48,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
5,5,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
30,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
86,86,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
10,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
6,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
27,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
42,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
4,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
88,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
45,45,Room Temperature,Not Applicable,Normal,Dull/Dry,2
56,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
82,82,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
88,88,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
44,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
22,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
42,4,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
69,69,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
89,89,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
44,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
41,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
88,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
66,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
72,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
49,49,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
61,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
41,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
62,62,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
53,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
94,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
81,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
32,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
8,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
60,5,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
45,45,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
10,10,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
11,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
47,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
27,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
8,8,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
28,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
14,14,Room Temperature,Not Applicable,Normal,Dull/Dry,2
3,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
30,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
9,9,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
69,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
91,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
89,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
9,9,Room Temperature,Not Applicable,Normal,Dull/Dry,2
70,70,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
76,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
66,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
59,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
62,62,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
96,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
46,46,Room Temperature,Not Applicable,Normal,Dull/Dry,2
48,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
29,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
8,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
33,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
3,3,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
62,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
79,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
90,90,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
71,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
65,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
71,4,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Normal/Glossy,2
22,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
44,44,Room Temperature,Not Applicable,Stale/Slightly Off,Normal/Glossy,2
70,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
31,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
33,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
7,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
59,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
62,4,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Normal/Glossy,2
21,21,Room Temperature,Not Applicable,Normal,Dull/Dry,2
1,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
44,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
59,59,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
79,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
77,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
81,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
43,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
63,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
16,16,Room Temperature,Not Applicable,Normal,Dull/Dry,2
63,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
53,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
49,49,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
47,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
42,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
12,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
94,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
43,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
32,32,Room Temperature,Not Applicable,Normal,Dull/Dry,2
22,22,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
34,34,Room Temperature,Not Applicable,Normal,Dull/Dry,2
60,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
65,65,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
5,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
14,14,Room Temperature,Not Applicable,Normal,Dull/Dry,2
23,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
17,17,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
20,20,Room Temperature,Not Applicable,Normal,Dull/Dry,2
90,90,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
92,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
77,77,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
79,79,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
6,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
52,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
69,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
40,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
8,8,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
82,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
67,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
74,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
2,2,Room Temperature,Not Applicable,Normal,Normal/Glossy,0
29,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
89,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
62,62,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
74,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
24,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
45,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
89,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
32,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
56,4,Refrigerator,Cooled in shallow container,Normal,Dull/Dry,2
80,80,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
61,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
35,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
5,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
94,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
87,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
37,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
35,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
80,1,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
73,73,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
33,33,Room Temperature,Not Applicable,Normal,Dull/Dry,2
36,36,Room Temperature,Not Applicable,Normal,Dull/Dry,2
88,88,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
11,2,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
28,28,Room Temperature,Not Applicable,Normal,Dull/Dry,2
19,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
90,1,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
63,63,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
45,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
12,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
54,4,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
67,67,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
46,46,Room Temperature,Not Applicable,Normal,Dull/Dry,2
73,5,Refrigerator,Left to cool in deep pot,Normal,Dull/Dry,2
31,31,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
66,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
31,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
17,3,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
40,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
4,4,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
33,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
31,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
54,54,Room Temperature,Not Applicable,Sour/Fermented,Slimy/Discolored,3
13,13,Room Temperature,Not Applicable,Stale/Slightly Off,Dull/Dry,2
78,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
38,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
83,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
59,5,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,2
92,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
60,5,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,2
13,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
83,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
63,3,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
81,81,Room Temperature,Not Applicable,Foul/Musty,Visible Mold,4
19,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
50,50,Room Temperature,Not Applicable,Foul/Musty,Slimy/Discolored,3
96,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
7,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
35,3,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
8,8,Room Temperature,Not Applicable,Normal,Normal/Glossy,2
79,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
50,1,Refrigerator,Left to cool in deep pot,Normal,Normal/Glossy,0
38,2,Refrigerator,Cooled in shallow container,Normal,Normal/Glossy,0
21,5,Refrigerator,Cooled in shallow container,Stale/Slightly Off,Dull/Dry,2
94,2,Refrigerator,Left to cool in deep pot,Stale/Slightly Off,Dull/Dry,1
